,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
922,36,48,21,66,0,39,0,84,30,30,0,75,0,27,0,72,60,0,51,87,78,96,0,33,96,0,78,33
923,57,51,33,39,0,57,0,63,21,15,0,66,0,90,0,78,66,0,57,84,21,90,0,57,69,0,93,33
924,27,57,57,63,0,57,0,63,36,21,0,63,0,84,0,78,57,0,45,72,51,60,0,78,60,0,81,30
925,51,42,15,36,0,24,0,90,30,27,0,75,0,96,0,102,60,0,66,78,78,48,0,54,57,0,84,27
926,30,39,63,30,0,57,0,69,57,39,0,60,0,72,0,87,57,0,51,87,45,78,0,63,48,0,96,12
927,63,48,30,42,0,75,0,84,78,30,0,87,0,60,0,69,48,0,66,63,48,75,0,18,39,0,99,18
928,60,18,33,45,0,30,0,81,48,30,0,84,0,60,0,96,51,0,72,54,90,90,0,45,57,0,78,18
929,48,51,18,18,0,36,0,72,42,42,0,75,0,81,0,96,66,0,66,45,57,87,0,51,72,0,93,24
930,30,36,45,51,0,60,0,51,21,24,0,69,0,69,0,93,87,0,51,72,60,96,0,30,72,0,93,30
931,39,51,30,45,0,36,0,78,33,18,0,87,0,66,0,75,57,0,66,84,63,84,0,45,57,0,105,21
932,81,24,24,36,0,30,0,63,39,45,0,78,0,78,0,75,57,0,66,60,66,99,0,30,51,0,99,39
933,30,45,51,45,0,63,0,81,45,36,0,36,0,51,0,75,60,0,54,48,60,84,0,60,72,0,105,39
934,36,51,24,42,0,51,0,54,36,30,0,84,0,72,0,84,84,0,51,78,51,69,0,87,45,0,93,18
935,63,45,57,57,0,45,0,63,48,39,0,75,0,69,0,72,87,0,48,84,45,63,0,72,12,0,72,24
936,39,45,33,54,0,42,0,87,33,39,0,81,0,84,0,78,60,0,78,57,24,72,0,72,57,0,75,30
937,33,51,39,69,0,51,0,78,60,21,0,81,0,75,0,36,72,0,63,75,63,72,0,60,48,0,78,15
938,51,51,57,33,0,75,0,78,51,27,0,72,0,54,0,84,72,0,39,72,84,48,0,39,63,0,66,24
939,78,36,51,30,0,48,0,45,24,30,0,75,0,96,0,87,69,0,51,54,60,69,0,45,48,0,93,51
940,60,33,18,45,0,27,0,87,63,24,0,93,0,60,0,84,81,0,54,54,51,75,0,78,27,0,96,30
