,Fulham,Nott'ham Forest,Bournemouth,Everton,Leeds United,West Ham,Huddersfield,Aston Villa,Burnley,Sheffield Utd,Cardiff City,Manchester Utd,Watford,Newcastle Utd,Leicester City,Liverpool,Brentford,Southampton,Wolves,Brighton,Tottenham,Arsenal,Norwich City,Crystal Palace,Chelsea,West Brom,Manchester City,Luton Town
38,33,48,45,69,0,36,0,69,30,27,0,87,0,90,0,87,57,0,66,66,63,63,0,42,48,0,90,24
39,51,63,51,27,0,45,0,87,39,15,0,90,0,66,0,69,57,0,45,78,63,75,0,33,60,0,90,36
40,48,75,15,51,0,81,0,48,27,42,0,69,0,81,0,72,69,0,57,60,54,60,0,63,45,0,84,39
41,51,42,30,39,0,57,0,60,63,30,0,63,0,78,0,69,33,0,75,87,39,81,0,51,45,0,105,42
42,78,27,51,30,0,48,0,57,57,30,0,84,0,72,0,69,63,0,30,45,90,87,0,69,33,0,81,39
43,48,45,33,54,0,63,0,78,66,30,0,75,0,78,0,84,30,0,72,81,39,72,0,45,45,0,75,27
44,66,54,45,51,0,36,0,75,24,18,0,102,0,69,0,93,78,0,30,45,54,66,0,66,63,0,93,12
45,75,24,27,45,0,51,0,75,36,33,0,87,0,39,0,72,72,0,75,48,45,66,0,69,75,0,93,33
46,33,51,36,39,0,39,0,75,45,33,0,66,0,72,0,75,60,0,42,90,96,78,0,54,48,0,96,12
47,27,63,81,36,0,51,0,39,27,36,0,69,0,48,0,75,54,0,42,93,93,63,0,87,39,0,90,27
48,48,69,36,33,0,63,0,57,60,24,0,81,0,93,0,69,78,0,24,48,42,87,0,66,60,0,69,33
49,21,81,27,45,0,36,0,66,27,24,0,75,0,66,0,72,72,0,57,66,78,90,0,69,57,0,84,27
50,36,48,39,54,0,57,0,51,57,12,0,45,0,63,0,60,78,0,54,87,75,96,0,48,51,0,99,30
51,51,39,30,60,0,69,0,69,42,42,0,81,0,57,0,111,51,0,63,39,39,87,0,54,36,0,87,33
52,45,45,36,39,0,60,0,90,54,33,0,60,0,78,0,84,45,0,12,87,54,78,0,69,63,0,84,24
53,45,39,57,42,0,45,0,60,60,24,0,81,0,87,0,90,42,0,57,42,45,78,0,75,36,0,105,30
54,45,54,66,36,0,66,0,60,45,36,0,96,0,36,0,54,66,0,57,60,66,87,0,39,60,0,90,21
55,60,27,42,63,0,45,0,72,27,33,0,84,0,51,0,66,78,0,51,45,72,84,0,51,54,0,105,30
56,51,57,21,48,0,63,0,69,45,42,0,60,0,72,0,66,54,0,33,51,66,96,0,60,54,0,105,27
57,48,33,54,48,0,63,0,75,18,24,0,78,0,57,0,99,69,0,66,72,63,66,0,72,24,0,72,39
58,66,33,27,57,0,39,0,24,57,27,0,87,0,60,0,84,72,0,30,75,72,66,0,75,48,0,99,42
59,63,45,45,51,0,30,0,69,36,36,0,57,0,78,0,72,63,0,48,51,60,96,0,63,33,0,108,36
60,30,54,69,33,0,51,0,69,36,12,0,75,0,72,0,90,63,0,45,84,60,48,0,57,60,0,87,45
61,45,45,30,39,0,57,0,60,60,21,0,69,0,75,0,78,78,0,42,75,66,93,0,51,48,0,81,27
62,81,45,33,39,0,57,0,72,21,27,0,78,0,66,0,84,66,0,45,75,69,69,0,54,39,0,90,30
63,45,78,30,39,0,45,0,30,42,39,0,87,0,81,0,87,66,0,51,30,63,84,0,48,57,0,99,39
64,54,48,45,48,0,39,0,54,36,48,0,84,0,84,0,72,69,0,48,93,36,51,0,48,54,0,99,30
65,42,54,21,42,0,45,0,66,81,18,0,78,0,96,0,84,54,0,48,48,51,78,0,63,42,0,90,39
66,27,57,93,45,0,72,0,60,33,24,0,66,0,78,0,72,63,0,54,63,63,66,0,51,42,0,96,15
67,51,63,18,42,0,66,0,63,60,24,0,69,0,75,0,99,66,0,33,66,63,48,0,36,54,0,93,51
68,42,57,54,48,0,42,0,51,33,39,0,84,0,72,0,87,69,0,18,78,78,87,0,18,54,0,87,42
69,63,54,24,48,0,33,0,81,33,21,0,93,0,48,0,81,51,0,33,60,75,105,0,57,51,0,99,30
70,72,21,51,54,0,33,0,63,33,63,0,78,0,75,0,99,69,0,39,63,57,54,0,54,51,0,96,15
71,36,45,21,45,0,18,0,72,33,54,0,66,0,66,0,63,84,0,57,72,66,96,0,54,75,0,87,30
72,42,51,24,63,0,63,0,57,42,27,0,69,0,57,0,90,57,0,30,81,72,90,0,57,30,0,111,27
73,39,42,57,48,0,57,0,54,39,15,0,87,0,78,0,84,36,0,66,57,42,78,0,39,93,0,93,36
74,51,48,63,36,0,54,0,63,36,51,0,75,0,36,0,81,54,0,57,60,60,78,0,51,69,0,93,24
75,66,42,45,21,0,42,0,48,39,54,0,87,0,66,0,93,78,0,54,72,87,60,0,39,54,0,81,12
76,39,66,27,69,0,63,0,51,42,60,0,69,0,81,0,69,45,0,39,66,87,72,0,54,27,0,96,18
77,39,27,48,63,0,63,0,36,60,33,0,84,0,39,0,78,78,0,39,72,78,81,0,66,42,0,96,18
78,57,54,54,30,0,57,0,102,21,36,0,72,0,81,0,84,69,0,60,45,69,57,0,39,15,0,105,33
79,66,30,45,45,0,51,0,63,21,39,0,66,0,75,0,75,87,0,39,63,36,72,0,78,78,0,96,15
80,66,27,42,36,0,54,0,75,42,27,0,54,0,99,0,72,66,0,72,87,81,72,0,42,27,0,78,21
81,42,42,36,39,0,48,0,66,54,66,0,63,0,48,0,84,72,0,42,48,84,66,0,54,81,0,87,18
82,48,57,48,57,0,39,0,90,66,36,0,51,0,60,0,87,66,0,54,42,36,93,0,42,63,0,84,21
83,48,51,33,63,0,54,0,60,63,6,0,78,0,72,0,66,60,0,39,72,63,66,0,69,45,0,102,30
84,90,48,69,63,0,63,0,57,45,15,0,51,0,90,0,72,63,0,45,57,63,72,0,57,27,0,81,12
85,42,27,48,39,0,78,0,75,42,3,0,45,0,60,0,72,75,0,72,57,66,75,0,54,75,0,111,24
86,72,33,42,39,0,48,0,96,33,6,0,60,0,78,0,78,60,0,45,48,69,108,0,72,45,0,93,15
87,51,24,54,39,0,69,0,51,33,30,0,51,0,96,0,81,84,0,57,57,51,78,0,72,45,0,96,21
88,42,48,51,51,0,63,0,90,60,27,0,63,0,66,0,87,84,0,48,51,36,84,0,45,24,0,105,15
89,39,45,30,57,0,69,0,63,39,33,0,93,0,72,0,87,39,0,48,48,66,96,0,54,57,0,87,18
90,60,30,45,45,0,48,0,60,78,30,0,48,0,66,0,78,69,0,72,33,54,48,0,78,87,0,105,6
91,48,66,51,75,0,78,0,54,66,30,0,57,0,69,0,72,57,0,48,69,27,69,0,36,51,0,81,36
92,48,63,33,54,0,39,0,78,48,63,0,60,0,60,0,93,69,0,36,66,57,66,0,66,39,0,81,21
93,30,45,36,72,0,12,0,90,45,51,0,84,0,75,0,96,57,0,57,66,24,72,0,66,48,0,93,21
94,42,54,51,27,0,54,0,63,18,42,0,87,0,69,0,105,54,0,48,57,81,87,0,60,57,0,81,3
95,36,72,24,30,0,51,0,69,30,27,0,87,0,45,0,84,66,0,33,78,72,90,0,54,72,0,90,30
96,63,42,15,30,0,36,0,63,63,27,0,87,0,57,0,84,54,0,54,54,87,81,0,75,48,0,96,24
